PLAYER,PLAYER_ID_ESPN,PLAYER_ID_NBA,PLAYER_NORM
Terance Mann,3907823,1629611,Terance Mann
Terrence Shannon Jr.,4432847,1630545,Terrence Shannon Jr.
Terry Rozier,3074752,1626179,Terry Rozier
Thomas Bryant,3934723,1628418,Thomas Bryant
Tidjane Salaün,5211176,1642275,Tidjane Salaun
Tim Hardaway Jr.,2528210,203501,Tim Hardaway Jr.
Tobias Harris,6440,202699,Tobias Harris
Torrey Craig,2528693,1628470,Torrey Craig
Toumani Camara,4431736,1641739,Toumani Camara
Trae Young,4277905,1629027,Trae Young
Trayce Jackson-Davis,4431684,1631218,Trayce Jackson-Davis
Tre Jones,4395626,1630200,Tre Jones
Tre Mann,4432819,1630544,Tre Mann
Trendon Watford,4431675,1630570,Trendon Watford
Trentyn Flowers,5165257,1642280,Trentyn Flowers
Trevelin Queen,4409222,1630243,Trevelin Queen
Trey Alexander,4433268,1641725,Trey Alexander
Trey Jemison III,4395623,1641998,Trey Jemison III
Trey Lyles,3136196,1626168,Trey Lyles
Trey Murphy III,4397688,1630530,Trey Murphy III
Tristan Thompson,6474,202684,Tristan Thompson
Tristan da Silva,4702382,1641783,Tristan da Silva
Tristen Newton,4592965,1641803,Tristen Newton
Ty Jerome,4065733,1629660,Ty Jerome
TyTy Washington Jr.,4683749,1631102,TyTy Washington Jr.
Tyler Herro,4395725,1629639,Tyler Herro
Tyler Kolek,4433225,1642278,Tyler Kolek
Tyler Smith,5167876,1641890,Tyler Smith
Tyrese Haliburton,4396993,1630169,Tyrese Haliburton
Tyrese Martin,4397179,1631213,Tyrese Martin
Tyrese Maxey,4431678,1630178,Tyrese Maxey
Tyus Jones,3135046,1626145,Tyus Jones
Ulrich Chomche,5211984,1642279,Ulrich Chomche
Vasilije Micić,3102532,203995,Vasilije Micic
Victor Wembanyama,5104157,1641705,Victor Wembanyama
Vince Williams Jr.,4397227,1631246,Vince Williams Jr.
Vít Krejčí,4578893,1630249,Vit Krejci
Vlatko Čančar,4230557,1628427,Vlatko Cancar
Walker Kessler,4433136,1631117,Walker Kessler
Wendell Carter Jr.,4277847,1628976,Wendell Carter Jr.
Wendell Moore Jr.,4592187,1631111,Wendell Moore Jr.
Xavier Tillman,4277964,1630214,Xavier Tillman
Yuki Kawamura,5159895,1642530,Yuki Kawamura
Yves Missi,5061589,1642274,Yves Missi
Zaccharie Risacher,5211175,1642258,Zaccharie Risacher
Zach Collins,4066650,1628380,Zach Collins
Zach Edey,4600663,1641744,Zach Edey
Zach LaVine,3064440,203897,Zach LaVine
Zeke Nnaji,4431690,1630192,Zeke Nnaji
Ziaire Williams,4433137,1630533,Ziaire Williams
Zion Williamson,4395628,1629627,Zion Williamson
